client_id,current_round,last_selected_round,selected,participation,loss,accuracy,data_size,grad_norm,cosine,local_epochs,pcdi,contribution
63,5,5,1,1,1.4802,0.7593,260,7.3989,0.9990,1.0,49202.10,0.759259
64,5,2,0,1,0.7193,0.9167,790,2.5936,0.9993,3.0,18666.10,0.000000
65,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,696318.40,0.000000
66,5,2,0,1,1.8117,0.3333,701,4.1682,0.9805,4.0,134.90,0.000000
67,5,5,1,1,0.3203,0.9667,501,1.0446,0.9987,3.0,26797.60,0.966667
68,5,5,1,1,0.0695,0.9722,552,6.8679,0.9994,2.0,32502.10,0.972222
69,5,2,0,1,1.3253,0.8235,235,4.7861,0.9968,2.0,39250.90,0.000000
70,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,101088.40,0.000000
71,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,596094.90,0.000000
72,5,3,0,1,0.0001,1.0000,1076,0.3525,0.9965,2.0,13186.90,0.000000
73,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,78404.40,0.000000
74,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,14066.50,0.000000
75,5,3,0,1,0.3058,0.8571,849,15.4042,0.9980,2.0,2744.90,0.000000
76,5,2,0,1,0.6839,0.9344,372,8.7763,0.9964,1.0,127630.10,0.000000
77,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,131036.90,0.000000
78,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,339192.50,0.000000
79,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,7698.00,0.000000
80,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,10846.10,0.000000
81,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,2678.10,0.000000
82,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,152986.10,0.000000
83,5,1,0,1,0.3171,0.9810,218,2.9726,0.9975,1.0,432134.50,0.000000
84,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,3448.90,0.000000
85,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,466958.10,0.000000
86,5,3,0,1,0.0342,1.0000,415,2.9452,0.9997,4.0,86920.40,0.000000
87,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,20018.90,0.000000
88,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,253659.60,0.000000
89,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,4416.90,0.000000
90,5,5,1,1,3.2111,0.5970,1152,5.2848,0.9994,1.0,157640.50,0.597015
91,5,3,0,1,0.0497,1.0000,280,3.8734,0.9999,2.0,539638.40,0.000000
92,5,4,0,1,0.1651,0.9667,937,0.0000,0.9997,4.0,225736.50,0.000000
93,5,2,0,1,1.2744,0.7681,570,4.9527,0.9998,4.0,193691.60,0.000000
94,5,1,0,1,2.2366,0.0000,1021,11.8640,0.9172,2.0,26.00,0.000000
95,5,1,0,1,1.2771,0.8824,870,3.7678,0.9680,2.0,12586.10,0.000000
96,5,1,0,1,0.9068,0.7500,298,10.2935,0.9833,5.0,1482.50,0.000000
97,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,1292.90,0.000000
98,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,1006.10,0.000000
99,5,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,261790.10,0.000000
